
Param lmweight= 1.0 , insertionPenalty=0.0
lmw 1.0 insw 0.0 UTT-1  <s> one </s>	->	 <s> SIX </s>	(-2189.6140041289477)	[2]
lmw 1.0 insw 0.0 UTT-2	<s> two </s>	->	 <s> SIX </s>	(-2107.0841643494537)	[2]
lmw 1.0 insw 0.0 UTT-3	<s> three zero eight two </s>	->	 <s> SIX OH </s>	(-3713.0027713237246)	[5]
lmw 1.0 insw 0.0 UTT-4	<s> five two one zero nine </s>	->	 <s> SIX SIX </s>	(-5767.164414918676)	[6]
lmw 1.0 insw 0.0 UTT-5	<s> six three </s>	->	 <s> SIX SIX </s>	(-2730.0519735474877)	[2]
lmw 1.0 insw 0.0 UTT-6	<s> seven five </s>	->	 <s> OH </s>	(-3115.7485300191524)	[3]
lmw 1.0 insw 0.0 UTT-7	<s> eight six zero one one six two </s>	->	 <s> SIX SIX SIX SIX SIX </s>	(-6662.170405828952)	[6]
lmw 1.0 insw 0.0 UTT-8	<s> nine </s>	->	 <s> OH SIX </s>	(-2071.628584334817)	[3]
lmw 1.0 insw 0.0 UTT-9	<s> oh oh two one six four one </s>	->	 <s> OH SIX SIX SIX </s>	(-6571.409974636563)	[6]
lmw 1.0 insw 0.0 UTT-10	<s> zero zero seven zero four </s>	->	 <s> SIX SIX SIX </s>	(-5924.187180769197)	[6]
lmw 1.0 insw 0.0 UTT-11	<s> two one four eight </s>	->	 <s> SIX </s>	(-3454.9569263339577)	[5]
lmw 1.0 insw 0.0 UTT-12	<s> three eight eight </s>	->	 <s> OH </s>	(-2752.4682079113823)	[4]
lmw 1.0 insw 0.0 UTT-13	<s> four three oh six five seven one </s>	->	 <s> SIX SIX SIX </s>	(-5923.568467231072)	[7]
lmw 1.0 insw 0.0 UTT-14	<s> five five two seven </s>	->	 <s> OH SIX </s>	(-3491.7807289585508)	[5]
lmw 1.0 insw 0.0 UTT-15	<s> six </s>	->	 <s> SIX </s>	(-1982.0343836211723)	[1]
lmw 1.0 insw 0.0 UTT-16	<s> seven </s>	->	 <s> SIX </s>	(-1906.2376424657741)	[2]
lmw 1.0 insw 0.0 UTT-17	<s> eight </s>	->	 <s> OH </s>	(-1647.6532544958247)	[2]
lmw 1.0 insw 0.0 UTT-18	<s> oh three oh </s>	->	 <s> OH </s>	(-3079.1103023167343)	[3]
lmw 1.0 insw 0.0 UTT-19	<s> zero two </s>	->	 <s> SIX SIX </s>	(-2557.51977812013)	[3]
lmw 1.0 insw 0.0 UTT-20	<s> one five one eight </s>	->	 <s> OH SIX </s>	(-3636.892326395614)	[5]
lmw 1.0 insw 0.0 UTT-21	<s> two seven oh </s>	->	 <s> OH </s>	(-2795.562910332303)	[3]
lmw 1.0 insw 0.0 UTT-22	<s> three six seven </s>	->	 <s> SIX SIX </s>	(-3751.908698329058)	[3]
lmw 1.0 insw 0.0 UTT-23	<s> four </s>	->	 <s> SIX SIX </s>	(-1968.848214661951)	[3]
lmw 1.0 insw 0.0 UTT-24	<s> five </s>	->	 <s> OH FIVE </s>	(-2345.847225338422)	[2]
lmw 1.0 insw 0.0 UTT-25	<s> seven one nine zero </s>	->	 <s> SIX OH OH </s>	(-5601.9793606102285)	[5]
lmw 1.0 insw 0.0 UTT-26	<s> eight five </s>	->	 <s> SIX OH </s>	(-2760.230684485808)	[3]
